country,date,count
BR,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,1
ES,2013-06-01T00:00:00.000Z,1
CN,2013-06-01T00:00:00.000Z,1
DE,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,2
DE,2013-06-01T00:00:00.000Z,1
DO,2013-06-01T00:00:00.000Z,3
ID,2013-06-01T00:00:00.000Z,2
GB,2013-06-01T00:00:00.000Z,1
LK,2013-06-01T00:00:00.000Z,3
PG,2013-06-01T00:00:00.000Z,3
AU,2013-06-01T00:00:00.000Z,15
GB,2013-06-01T00:00:00.000Z,4
EG,2013-06-01T00:00:00.000Z,1
AR,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,2
GY,2013-06-01T00:00:00.000Z,1
VE,2013-06-01T00:00:00.000Z,5
US,2013-06-01T00:00:00.000Z,2
BR,2013-06-01T00:00:00.000Z,1
ES,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
GH,2013-06-01T00:00:00.000Z,4
MX,2013-06-01T00:00:00.000Z,8
MX,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,5
CL,2013-06-01T00:00:00.000Z,2
BF,2013-06-01T00:00:00.000Z,1
NO,2013-06-01T00:00:00.000Z,3
ZA,2013-06-01T00:00:00.000Z,6
LK,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,5
JP,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,2
ID,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,3
XK,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,3
MY,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,6
DE,2013-06-01T00:00:00.000Z,1
QA,2013-06-01T00:00:00.000Z,2
BR,2013-06-01T00:00:00.000Z,2
BG,2013-06-01T00:00:00.000Z,2
NG,2013-06-01T00:00:00.000Z,1
FR,2013-06-01T00:00:00.000Z,1
BE,2013-06-01T00:00:00.000Z,26
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,5
MY,2013-06-01T00:00:00.000Z,6
RU,2013-06-01T00:00:00.000Z,1
AL,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,5
GB,2013-06-01T00:00:00.000Z,3
DE,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,6
ID,2013-06-01T00:00:00.000Z,2
OM,2013-06-01T00:00:00.000Z,14
FI,2013-06-01T00:00:00.000Z,2
RU,2013-06-01T00:00:00.000Z,1
SG,2013-06-01T00:00:00.000Z,3
SI,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,1
FR,2013-06-01T00:00:00.000Z,4
SG,2013-06-01T00:00:00.000Z,1
RO,2013-06-01T00:00:00.000Z,1
CA,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
HU,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,1
BE,2013-06-01T00:00:00.000Z,1
SE,2013-06-01T00:00:00.000Z,2
MX,2013-06-01T00:00:00.000Z,1
VE,2013-06-01T00:00:00.000Z,3
ID,2013-06-01T00:00:00.000Z,2
NL,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,3
HR,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,5
NL,2013-06-01T00:00:00.000Z,2
CH,2013-06-01T00:00:00.000Z,4
US,2013-06-01T00:00:00.000Z,2
SE,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,15
NL,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,4
US,2013-06-01T00:00:00.000Z,8
US,2013-06-01T00:00:00.000Z,4
PH,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,10
CA,2013-06-01T00:00:00.000Z,3
ZW,2013-06-01T00:00:00.000Z,2
RU,2013-06-01T00:00:00.000Z,1
ML,2013-06-01T00:00:00.000Z,4
RU,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,6
TR,2013-06-01T00:00:00.000Z,3
GB,2013-06-01T00:00:00.000Z,1
PH,2013-06-01T00:00:00.000Z,1
GB,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,1
EE,2013-06-01T00:00:00.000Z,2
CA,2013-06-01T00:00:00.000Z,2
MX,2013-06-01T00:00:00.000Z,1
PL,2013-06-01T00:00:00.000Z,1
MR,2013-06-01T00:00:00.000Z,1
MX,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,24
US,2013-06-01T00:00:00.000Z,4
NL,2013-06-01T00:00:00.000Z,3
SI,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,4
ID,2013-06-01T00:00:00.000Z,1
JE,2013-06-01T00:00:00.000Z,2
US,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,1
